siteID,date,observer,number,startTime,endTime,pathDistance
WILLJUDMA1,2016-06-16,TMB,1,12:24,13:37,1870
MCCOCHRMD1,2016-06-18,KPK,1,11:30,12:33,1134
LEONTESDC1,2016-06-20,"KPK,AEH",1,11:19,13:09,1100
OWENDORVA1,2016-06-18,JLM,1,11:14,11:48,1580
ODELVINMD2,2016-06-20,JLM,1,11:37,12:16,1380
WESCCATMA1,2016-06-17,TMB,1,12:27,13:49,1790
MALTELIMA1,2016-06-11,TMB,1,12:09,13:46,2880
SINGVIRDC1,2016-06-21,JLM,1,11:35,12:41,2890
MANNJANDC1,2016-06-21,"KPK, AEH",1,12:08,13:56,2462
CYMRHELDC1,2016-06-22,JLM,1,00:01,NA:NA,-99999
CYMRHELDC1,2016-05-17,JLM,1,00:01,NA:NA,-99999
FREYFREMD1,2016-06-22,KPK,1,11:19,12:19,1990
ROHRSALMD1,2016-06-22,"MAR, KJW",1,11:05,12:05,2000
WISECELMD1,2016-06-20,"DLN, KJW",1,12:41,13:11,2.5
VOSSCOLVA1,2016-06-24,JLM,1,11:14,12:14,2570
WHITLIZFL1,2016-06-11,ZZ,1,07:00,07:50,1754
BRYAANGFL1,2016-06-15,ZZ,1,06:50,07:15,-99999
EWINSAMFL1,2016-05-31,ZZ,1,07:00,08:00,-99999
PALUMATFL1,2016-05-31,ZZ,1,08:30,09:15,-99999
FLAMSCOFL1,2016-06-20,ZZ,1,06:30,07:15,-99999
LOWRSTEFL1,2016-06-20,ZZ,1,07:45,08:30,-99999
KOWAELIFL1,2016-06-12,ZZ,1,07:00,08:00,1465
KOWAELIFL1,2016-06-21,ZZ,1,06:30,07:30,-99999
HAZZIANFL1,2016-06-21,ZZ,1,08:00,08:30,-99999
STEPGREFL1,2016-06-24,ZZ,1,06:40,07:30,-99999
LANGPETMA1,2016-06-20,TMB,1,11:48,13:06,1990
PIROELADC1,2016-06-26,KJW,1,11:14,12:15,-99999
ARLINESVA1,2016-04-22,"KK,AH,EF,JM",1,00:01,NA:NA,-99999
ANDRKENVA1,2016-06-27,JLM,1,11:57,12:43,3240
BALASUCMD1,2016-06-27,JLM,1,11:25,12:02,-99999
MOLIKARMD1,2016-06-27,"KJW,MAR",1,11:26,12:27,3100
BRODDORMA1,2016-06-14,SMB,1,12:26,14:30,5420
ANDEHALMA1,2016-06-15,SMB,1,00:01,NA:NA,-99999
MULLJOYVA1,2016-06-24,KPK,1,11:35,12:34,1840
GECACARVA1,2016-06-25,KPK,1,11:50,12:56,1840
TOUCWENMA1,2016-06-22,TMB,1,12:01,13:28,-99999
WHELGWEMA1,2016-06-23,TMB,1,11:42,12:56,1990
MARTJUAMA1,2016-06-24,TMB,1,11:49,12:50,1900
WILDSIEMA1,2016-06-25,TMB,1,11:50,13:14,2160
ROMANICMA1,2016-06-27,TMB,1,12:06,13:21,2160
BOSCJOEDC1,2016-06-28,JLM,1,11:03,12:14,3860
STUECHRVA2,2016-06-24,"KJW, MAR",1,10:30,11:30,2000
TRAUPATVA2,2016-06-25,"VEM, MAR",1,10:30,11:15,2000
GERYERIMD1,2016-06-28,KJW,1,11:33,12:34,1800
LAFOMELVA1,2016-06-27,KPK,1,12:10,13:10,2440
HERBMIRGA1,2016-06-21,"TG, RR",1,00:01,NA:NA,-99999
MEGOPATMD2,2016-06-28,KPK,1,11:30,12:25,1390
MERIMARMA1,2016-06-26,TMB,1,12:36,14:00,2420
RCPSMBCDC1,2016-06-29,"KPK, JLM, ERF",1,00:01,NA:NA,-99999
NZPSMBCDC1,2014-03-21,"ERF, KPK, JLM",1,00:01,NA:NA,-99999
PERRCHRMD1,2016-06-29,"KJW,MAR",1,11:44,12:45,2300
ROSNEDWMA1,2016-06-28,TMB,1,11:36,12:36,1980
MOSMCARMD1,2016-06-30,"KJW,MAR",1,11:26,12:27,1800
OWENKATMD1,2016-06-30,JLM,1,11:56,12:40,1600
BLANBETMD1,2016-06-30,KPK,1,11:24,12:32,2700
CHILDPSMA1,2016-06-29,TMB,1,00:01,NA:NA,-99999
LUCAJILMD1,2016-07-01,KJW,1,11:08,12:09,2000
YOUNELIMD1,2016-07-01,JLM,1,11:55,12:40,1910
KNIGSALVA1,2016-07-01,KPK,1,11:40,12:30,590
STANJEFMD1,2016-07-02,"KJW,MAR",1,11:36,12:37,1900
SOLLCHRMD1,2016-07-01,"MAR, VEM",1,10:00,11:00,-99999
MCKICAIMA1,2016-06-30,TMB,1,12:21,13:28,2090
FARYSIMMD1,2016-07-02,KPK,1,11:19,12:26,1940
BUISNORVA1,2016-05-17,"ERF, DN",1,00:01,NA:NA,-99999
BUISNORVA1,2016-07-05,JLM,1,11:30,12:16,1440
FISHFERVA1,2016-07-05,KPK,1,11:33,12:53,2060
GALLMONVA1,2016-07-05,JLM,1,12:55,11:10,297
