siteID,date,observer,time,forayNumber,bandNumber,longitude,latitude,resightType,notes
KENTADAFL1,2014-05-31,NA,NA,noData,2640-61858,NA,NA,T,NA
KENTADAFL1,2014-05-31,NA,NA,noData,2640-61856,NA,NA,T,NA
KENTADAFL1,2014-05-31,NA,NA,noData,2571-90250,NA,NA,T,NA
KENTADAFL1,2014-05-31,NA,NA,noData,2571-90251,NA,NA,T,NA
KENTADAFL1,2014-05-31,NA,NA,noData,2331-09114,NA,NA,T,NA
KENTADAFL1,2014-05-31,NA,NA,noData,2331-09148,NA,NA,T,NA
KENTADAFL1,2014-07-31,NA,NA,noData,2640-61858,NA,NA,T,NA
KENTADAFL1,2014-07-31,NA,NA,noData,2640-61856,NA,NA,T,NA
KENTADAFL1,2014-07-31,NA,NA,noData,2571-90250,NA,NA,T,NA
KENTADAFL1,2014-07-31,NA,NA,noData,2571-90251,NA,NA,T,NA
KENTADAFL1,2014-08-31,NA,NA,noData,2331-09147,NA,NA,T,NA
KORNHARFL1,2012-11-30,NA,NA,noData,2640-61860,NA,NA,T,NA
KORNHARFL1,2012-01-31,NA,NA,noData,2640-61860,NA,NA,T,NA
LAMMLAUFL1,2011-05-31,NA,NA,noData,2640-61885,NA,NA,T,NA
LAMMLAUFL1,2011-05-31,NA,NA,noData,2640-61826,NA,NA,T,NA
LAUESARFL1,2011-06-30,NA,NA,noData,2641-96733,NA,NA,T,NA
LAUESARFL1,2011-06-30,NA,NA,noData,2590-82058,NA,NA,T,NA
LAUESARFL1,2012-08-31,NA,NA,noData,1991-18030,NA,NA,T,NA
LAUESARFL1,2012-09-30,NA,NA,noData,1991-18030,NA,NA,T,NA
LAUESARFL1,2012-09-30,NA,NA,noData,1991-18029,NA,NA,T,NA
LAUESARFL1,2013-05-31,NA,NA,noData,2571-70473,NA,NA,T,NA
LAUESARFL1,2013-06-30,NA,NA,noData,2571-90275,NA,NA,T,NA
LOUWLISFL1,2011-06-30,NA,NA,noData,2661-07798,NA,NA,T,NA
MILLKARFL1,2011-06-30,NA,NA,noData,2661-31385,NA,NA,T,NA
MILLKARFL1,2013-11-30,NA,NA,noData,2590-82091,NA,NA,T,NA
MILLKARFL1,2011-05-31,NA,NA,noData,2661-07755,NA,NA,T,NA
NATUAREFL1,2011-06-30,NA,NA,noData,2661-31375,NA,NA,T,NA
NOSSANDFL1,2011-05-31,NA,NA,noData,2541-40422,NA,NA,T,NA
NOSSANDFL1,2011-05-31,NA,NA,noData,2661-07824,NA,NA,T,NA
NOSSANDFL1,2011-06-30,NA,NA,noData,2661-07676,NA,NA,T,NA
NOSSANDFL1,2011-06-30,NA,NA,noData,2661-07824,NA,NA,T,NA
ROBIRONFL1,2012-10-31,NA,NA,noData,1991-18073,NA,NA,T,NA
ROBIRONFL1,2012-10-31,NA,NA,noData,1991-18074,NA,NA,T,NA
ROBIRONFL1,2012-10-31,NA,NA,noData,1991-18075,NA,NA,T,NA
ROBIRONFL1,2012-11-30,NA,NA,noData,1991-18068,NA,NA,T,NA
ROBIRONFL1,2012-11-30,NA,NA,noData,1991-18071,NA,NA,T,NA
ROBIRONFL1,2012-11-30,NA,NA,noData,1991-18073,NA,NA,T,NA
ROBIRONFL1,2012-11-30,NA,NA,noData,1991-18075,NA,NA,T,NA
ROBIRONFL1,2012-11-30,NA,NA,noData,1991-18076,NA,NA,T,NA
ROBIRONFL1,2012-12-31,NA,NA,noData,1991-18069,NA,NA,T,NA
ROBIRONFL1,2012-12-31,NA,NA,noData,1991-18070,NA,NA,T,NA
ROBIRONFL1,2012-12-31,NA,NA,noData,1991-18072,NA,NA,T,NA
ROBIRONFL1,2012-12-31,NA,NA,noData,1991-18073,NA,NA,T,NA
ROBIRONFL1,2012-12-31,NA,NA,noData,1991-18074,NA,NA,T,NA
ROBIRONFL1,2012-12-31,NA,NA,noData,1991-18075,NA,NA,T,NA
ROBIRONFL1,2012-01-31,NA,NA,noData,1991-18069,NA,NA,T,NA
ROBIRONFL1,2012-01-31,NA,NA,noData,1991-18070,NA,NA,T,NA
ROBIRONFL1,2012-01-31,NA,NA,noData,1991-18072,NA,NA,T,NA
ROBIRONFL1,2012-01-31,NA,NA,noData,1991-18073,NA,NA,T,NA
ROBIRONFL1,2012-01-31,NA,NA,noData,1991-18075,NA,NA,T,NA
ROBIRONFL1,2012-02-28,NA,NA,noData,1991-18073,NA,NA,T,NA
ROBIRONFL1,2013-03-31,NA,NA,noData,1991-18070,NA,NA,T,NA
ROBIRONFL1,2013-03-31,NA,NA,noData,1991-18072,NA,NA,T,NA
ROBIRONFL1,2013-03-31,NA,NA,noData,1991-18073,NA,NA,T,NA
ROBIRONFL1,2013-03-31,NA,NA,noData,1991-18075,NA,NA,T,NA
ROBIRONFL1,2013-04-30,NA,NA,noData,1991-18070,NA,NA,T,NA
ROBIRONFL1,2013-04-30,NA,NA,noData,1991-18075,NA,NA,T,NA
STRARICFL1,2015-04-30,NA,NA,noData,2661-31384,NA,NA,T,NA
WINTCHAFL1,2011-05-31,NA,NA,noData,2661-31337,NA,NA,T,NA
WINTCHARFL1,2011-05-31,NA,NA,noData,2661-31340,NA,NA,T,NA
BYERHEAPA1,2015-07-04,NA,NA,noData,2730-26337,NA,NA,T,NA
CLARBRYMA1,2014-06-11,NA,NA,noData,2690-87917,NA,NA,T,NA
WHELGWEMA1,2014-06-14,NA,NA,noData,2690-87708,NA,NA,T,NA
LANGPETMA1,2014-06-19,NA,NA,noData,2690-87918,NA,NA,T,NA
SINIKRIMA1,2014-06-11,NA,NA,noData,2690-87732,NA,NA,T,NA
SLONJOHMA1,2013-06-15,NA,NA,noData,2531-91144,NA,NA,T,NA
KINGDAVMA1,2014-07-31,NA,NA,noData,2561-86691,NA,NA,T,NA
PIEPSUSMA1,2014-05-27,NA,NA,noData,1891-11091,NA,NA,T,NA
CUSHTANMA1,2013-05-29,NA,NA,noData,2531-91149,NA,NA,T,NA
ROSEJOSMA1,2014-06-01,NA,NA,noData,1891-11048,NA,NA,T,NA
BRIDNATMA1,2014-08-02,NA,NA,noData,2660-85449,NA,NA,T,NA
WOODSANMA1,2013-05-31,NA,NA,noData,2690-87825,NA,NA,T,NA
KINGDAVMA1,2014-07-31,NA,NA,noData,2690-87759,NA,NA,T,NA
FAERHOWMA1,2014-05-29,NA,NA,noData,2531-91126,NA,NA,T,NA
AAROJESFL1,2016-04-21,ZZ,NA,noData,2661-31319,NA,NA,T,NA
BANDCATFL1,2016-03-28,ZZ,NA,noData,2541-40415,NA,NA,T,NA
BANDCATFL1,2016-03-28,ZZ,NA,noData,2661-07658,NA,NA,T,NA
BLOOLEEFL1,2016-04-08,ZZ,NA,noData,2531-99356,NA,NA,T,NA
BLOOLEEFL1,2016-04-08,ZZ,NA,noData,1991-18038,NA,NA,T,NA
BLOOLEEFL1,2016-04-08,ZZ,NA,noData,2331-09123,NA,NA,T,NA
BLOOLEEFL1,2016-04-08,ZZ,NA,noData,2590-82040,NA,NA,T,NA
BLOOLEEFL1,2016-04-08,ZZ,NA,noData,2331-09334,NA,NA,T,NA
CARLDAVFL1,2016-04-13,ZZ,NA,noData,2661-07805,NA,NA,T,NA
CASEANNFL1,2016-04-12,ZZ,NA,noData,2331-90141,NA,NA,T,NA
CASEANNFL1,2016-04-12,ZZ,NA,noData,2331-90139,NA,NA,T,NA
CASEANNFL1,2016-04-12,ZZ,NA,noData,2571-90242,NA,NA,T,NA
CASEANNFL1,2016-04-12,ZZ,NA,noData,2571-90247,NA,NA,T,NA
CASEANNFL1,2016-04-12,ZZ,NA,noData,2641-96738,NA,NA,T,NA
CHERNADFL1,2016-09-28,ZZ,NA,1,2661-07672,NA,NA,F,NA
CHURCARFL1,2016-05-04,ZZ,7:15,noData,2661-07856,NA,NA,T,NA
CHURCARFL1,2016-05-04,ZZ,7:40,noData,2641-96635,NA,NA,T,NA
