siteID,region
LINDOLIPA1,Pittsburgh
LYNCPATPA1,Pittsburgh
MADJDAVPA1,Pittsburgh
MAFFANGPA1,Pittsburgh
MAIEBILPA1,Pittsburgh
MAKAKATPA1,Pittsburgh
MAKAKATPA2,Pittsburgh
MALLTANPA1,Pittsburgh
MANNCARPA1,Pittsburgh
MARNMELPA1,Pittsburgh
MATISHAPA1,Pittsburgh
MCAUTEDPA1,Pittsburgh
MCCLEESPA1,Pittsburgh
MCDEDAVPA1,Pittsburgh
MCGEMANPA1,Pittsburgh
MCGRERIPA1,Pittsburgh
MEALRYAPA1,Pittsburgh
MEHLMOLPA1,Pittsburgh
MILLJEFPA1,Pittsburgh
MINNJEAPA1,Pittsburgh
MITCNICPA1,Pittsburgh
MOLLRUSPA1,Pittsburgh
MOORMATPA1,Pittsburgh
MORRDOUPA1,Pittsburgh
MORROESPA1,Pittsburgh
MOSSZARPA1,Pittsburgh
NAILJENPA1,Pittsburgh
NATIAVIPA1,Pittsburgh
NEWTMICPA1,Pittsburgh
NIKODONPA1,Pittsburgh
OLMSSTUPA1,Pittsburgh
PAPICHRPA1,Pittsburgh
PARRJOHPA1,Pittsburgh
PATTMYRPA1,Pittsburgh
PETETOWPA1,Pittsburgh
PFENCHIPA1,Pittsburgh
PHILJIMPA1,Pittsburgh
PIACRICPA1,Pittsburgh
PINKSUSPA1,Pittsburgh
POINANNPA1,Pittsburgh
PRASJOHPA1,Pittsburgh
PROPSCHPA1,Pittsburgh
QUIMKIMPA1,Pittsburgh
RALSJIMPA1,Pittsburgh
RASHMICPA1,Pittsburgh
RAVECATPA1,Pittsburgh
RESIMARPA1,Pittsburgh
RICEMICPA1,Pittsburgh
RIGAMARPA1,Pittsburgh
ROCKJESPA1,Pittsburgh
ROMESUZPA1,Pittsburgh
RYANCATPA1,Pittsburgh
SABLKARPA1,Pittsburgh
SACHLARPA1,Pittsburgh
SADLCHRPA1,Pittsburgh
SAHNRAMPA1,Pittsburgh
SAVALETPA1,Pittsburgh
SAXTCHRPA1,Pittsburgh
SCHLJOYPA1,Pittsburgh
SCHNLAUPA1,Pittsburgh
SEVEMARPA1,Pittsburgh
SHAIKAIPA1,Pittsburgh
SOLOJACPA1,Pittsburgh
SPRIHILPA1,Pittsburgh
STACTIMPA1,Pittsburgh
STALJUDPA1,Pittsburgh
STEIJANPA1,Pittsburgh
STERKATPA1,Pittsburgh
STORLISPA1,Pittsburgh
TABACARPA1,Pittsburgh
TABARENPA1,Pittsburgh
TEAMKARPA1,Pittsburgh
THOMDEBPA1,Pittsburgh
THOMMARPA1,Pittsburgh
VASAJODPA1,Pittsburgh
VIDAREBPA1,Pittsburgh
VIDIJULPA1,Pittsburgh
WALDSCHPA1,Pittsburgh
WALKJOEPA1,Pittsburgh
WALKJOEPA2,Pittsburgh
WEINANIPA1,Pittsburgh
WEISDONPA1,Pittsburgh
WIDESTAPA1,Pittsburgh
WILEBRAPA1,Pittsburgh
WILKAMYPA1,Pittsburgh
WINSRAYPA1,Pittsburgh
WISSDAMPA1,Pittsburgh
WOHLLYNPA1,Pittsburgh
WOLFMELPA1,Pittsburgh
YEANDAVPA1,Pittsburgh
YMCAHOMPA1,Pittsburgh
YODELAUPA1,Pittsburgh
ARGEGIONC1,Raleigh
AUSTCLANC1,Raleigh
BACHMARNC1,Raleigh
BAILPATNC1,Raleigh
BEARKARNC1,Raleigh
BEEGERLNC1,Raleigh
BOBAMICNC1,Raleigh
BOTHVERNC1,Raleigh
BROANANNC1,Raleigh
BUDNNORNC1,Raleigh
BURGRENNC1,Raleigh
BURNDENNC1,Raleigh
CAMPSUSNC1,Raleigh
CASTTOMNC1,Raleigh
COLLJUDNC1,Raleigh
CONNJOHNC1,Raleigh
CORBAMYNC1,Raleigh
COSTHOWNC1,Raleigh
COTTVANNC1,Raleigh
CRAIJOSNC1,Raleigh
DAGGNATNC1,Raleigh
DEBRMARNC1,Raleigh
DEGELAUNC1,Raleigh
DOWDMIRNC1,Raleigh
DURBLAUNC1,Raleigh
FERNKARNC1,Raleigh
FOSTSTENC1,Raleigh
FRANMICNC1,Raleigh
GALLLENNC1,Raleigh
GERWJOHNC1,Raleigh
GLORPETNC1,Raleigh
GOINJANNC1,Raleigh
HAGACOUNC1,Raleigh
HAHNMARNC1,Raleigh
HANSAMYNC1,Raleigh
HARABARNC1,Raleigh
HARPMOLNC1,Raleigh
HARVSUENC1,Raleigh
HENRJAYNC1,Raleigh
HINTLORNC1,Raleigh
IVESALINC1,Raleigh
JENSKEINC1,Raleigh
JOHNMIKNC1,Raleigh
JOHNNORNC1,Raleigh
KALIELINC1,Raleigh
KANEEVANC1,Raleigh
KARALIZNC1,Raleigh
KEATELINC1,Raleigh
KELSBRENC1,Raleigh
KNIGKENNC1,Raleigh
LADYKENNC1,Raleigh
LANETARNC1,Raleigh
LIPSMARNC1,Raleigh
LOFLKATNC1,Raleigh
MANDMARNC1,Raleigh
MCCODINNC1,Raleigh
MCCRSARNC1,Raleigh
MEADRUTNC1,Raleigh
MICCANNNC1,Raleigh
MOSELYNNC1,Raleigh
NEWTROBNC1,Raleigh
NICHGLONC1,Raleigh
OSBEBARNC1,Raleigh
OWENEDDNC1,Raleigh
PENNGRANC1,Raleigh
PICKADANC1,Raleigh
POTEMARNC1,Raleigh
PRAIRIDNC1,Raleigh
PRESANNNC1,Raleigh
ROBELINNC1,Raleigh
ROSETRANC1,Raleigh
RUDDLINNC1,Raleigh
SALITYLNC1,Raleigh
SANFTIFNC1,Raleigh
SENZIRINC1,Raleigh
SIMPEDWNC1,Raleigh
SKRALOUNC1,Raleigh
SORECLYNC1,Raleigh
SPEAMARNC1,Raleigh
SPEAMARNC2,Raleigh
TAYLJERNC1,Raleigh
